date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:01:49	292/292	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2021%20Oct%202022%2005:01:49%20GMT	http://hyperion.cs.upt.ro/robots.txt		(from )
08:01:49	22527/22527	---M-Z	200	added ('OK')	text/html	date:Fri,%2021%20Oct%202022%2005:01:50%20GMT	http://hyperion.cs.upt.ro/	C:/My%20Web%20Sites/hyoerion/hyperion.cs.upt.ro/index.html	(from )
08:01:49	53907/53907	---M-Z	200	added ('OK')	text/css	etag:%22d293-5addfb6b23d80-gzip%22	http://hyperion.cs.upt.ro/wp-includes/css/dist/block-library/style.min.css?ver=5.5.11	C:/My%20Web%20Sites/hyoerion/hyperion.cs.upt.ro/wp-includes/css/dist/block-library/style.min4095.css	(from http://hyperion.cs.upt.ro/)
08:01:50	841/841	---M-Z	200	added ('OK')	application/rss+xml	etag:%22f64116e186b83a5646763d1fcb48619b-gzip%22	http://hyperion.cs.upt.ro/index.php/feed/	C:/My%20Web%20Sites/hyoerion/hyperion.cs.upt.ro/index.php/feed/index.html	(from http://hyperion.cs.upt.ro/)
08:01:50	121055/121055	---M-Z	200	added ('OK')	text/css	etag:%221d8df-5ac87b9d72380-gzip%22	http://hyperion.cs.upt.ro/wp-content/themes/twentytwenty/style.css?ver=1.5	C:/My%20Web%20Sites/hyoerion/hyperion.cs.upt.ro/wp-content/themes/twentytwenty/style7ef2.css	(from http://hyperion.cs.upt.ro/)
08:01:51	2574/2574	---M-Z	200	added ('OK')	text/css	etag:%22a0e-5971146c35d40-gzip%22	http://hyperion.cs.upt.ro/wp-content/themes/twentytwenty/print.css?ver=1.5	C:/My%20Web%20Sites/hyoerion/hyperion.cs.upt.ro/wp-content/themes/twentytwenty/print7ef2.css	(from http://hyperion.cs.upt.ro/)
08:01:51	735/735	---M-Z	200	added ('OK')	application/rss+xml	etag:%22962e2d2814469cc1e3f38507436a5257-gzip%22	http://hyperion.cs.upt.ro/index.php/comments/feed/	C:/My%20Web%20Sites/hyoerion/hyperion.cs.upt.ro/index.php/comments/feed/index.html	(from http://hyperion.cs.upt.ro/)
08:01:51	738/738	---M-Z	200	added ('OK')	application/rss+xml	etag:%22962e2d2814469cc1e3f38507436a5257-gzip%22	http://hyperion.cs.upt.ro/index.php/sample-page/feed/	C:/My%20Web%20Sites/hyoerion/hyperion.cs.upt.ro/index.php/sample-page/feed/index.html	(from http://hyperion.cs.upt.ro/)
08:01:51	25570/25570	---M-Z	200	added ('OK')	application/javascript	etag:%2263e2-5a882f9941680-gzip%22	http://hyperion.cs.upt.ro/wp-content/themes/twentytwenty/assets/js/index.js?ver=1.5	C:/My%20Web%20Sites/hyoerion/hyperion.cs.upt.ro/wp-content/themes/twentytwenty/assets/js/index7ef2.js	(from http://hyperion.cs.upt.ro/)
08:01:51	3823/3823	---M--	200	added ('OK')	application/json	date:Fri,%2021%20Oct%202022%2005:01:52%20GMT	http://hyperion.cs.upt.ro/index.php/wp-json/wp/v2/pages/2	C:/My%20Web%20Sites/hyoerion/hyperion.cs.upt.ro/index.php/wp-json/wp/v2/pages/2.json	(from http://hyperion.cs.upt.ro/)
08:01:52	826/826	---M-Z	200	added ('OK')	text/xml	date:Fri,%2021%20Oct%202022%2005:01:52%20GMT	http://hyperion.cs.upt.ro/xmlrpc.php?rsd	C:/My%20Web%20Sites/hyoerion/hyperion.cs.upt.ro/xmlrpc0db0.php	(from http://hyperion.cs.upt.ro/)
08:01:52	1045/1045	---M-Z	200	added ('OK')	application/xml	etag:%22415-4ed4785da9bc0-gzip%22	http://hyperion.cs.upt.ro/wp-includes/wlwmanifest.xml	C:/My%20Web%20Sites/hyoerion/hyperion.cs.upt.ro/wp-includes/wlwmanifest.xml	(from http://hyperion.cs.upt.ro/)
08:01:52	2236/2236	---M--	200	added ('OK')	application/json	date:Fri,%2021%20Oct%202022%2005:01:53%20GMT	http://hyperion.cs.upt.ro/index.php/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fhyperion.cs.upt.ro%2F	C:/My%20Web%20Sites/hyoerion/hyperion.cs.upt.ro/index.php/wp-json/oembed/1.0/embeda9a5.json	(from http://hyperion.cs.upt.ro/)
08:01:53	2329/2329	---M-Z	200	added ('OK')	text/xml	date:Fri,%2021%20Oct%202022%2005:01:53%20GMT	http://hyperion.cs.upt.ro/index.php/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fhyperion.cs.upt.ro%2F&format=xml	C:/My%20Web%20Sites/hyoerion/hyperion.cs.upt.ro/index.php/wp-json/oembed/1.0/embed6940	(from http://hyperion.cs.upt.ro/)
08:01:53	1426/1426	---M-Z	200	added ('OK')	application/javascript	etag:%22592-5d0e54ad415f2-gzip%22	http://hyperion.cs.upt.ro/wp-includes/js/wp-embed.min.js?ver=5.5.11	C:/My%20Web%20Sites/hyoerion/hyperion.cs.upt.ro/wp-includes/js/wp-embed.min4095.js	(from http://hyperion.cs.upt.ro/)
08:01:53	22743/22743	---M-Z	200	added ('OK')	text/html	date:Fri,%2021%20Oct%202022%2005:01:54%20GMT	http://hyperion.cs.upt.ro/index.php/novelty-and-objectives/	C:/My%20Web%20Sites/hyoerion/hyperion.cs.upt.ro/index.php/novelty-and-objectives/index.html	(from http://hyperion.cs.upt.ro/)
08:01:54	23218/23218	---M-Z	200	added ('OK')	text/html	date:Fri,%2021%20Oct%202022%2005:01:54%20GMT	http://hyperion.cs.upt.ro/index.php/bibliography/	C:/My%20Web%20Sites/hyoerion/hyperion.cs.upt.ro/index.php/bibliography/index.html	(from http://hyperion.cs.upt.ro/)
08:01:54	22327/22327	---M-Z	200	added ('OK')	text/html	date:Fri,%2021%20Oct%202022%2005:01:54%20GMT	http://hyperion.cs.upt.ro/index.php/project-implementation/	C:/My%20Web%20Sites/hyoerion/hyperion.cs.upt.ro/index.php/project-implementation/index.html	(from http://hyperion.cs.upt.ro/)
08:01:54	21095/21095	---M-Z	200	added ('OK')	text/html	date:Fri,%2021%20Oct%202022%2005:01:55%20GMT	http://hyperion.cs.upt.ro/index.php/project-team/	C:/My%20Web%20Sites/hyoerion/hyperion.cs.upt.ro/index.php/project-team/index.html	(from http://hyperion.cs.upt.ro/)
08:01:54	21289/21289	---M-Z	200	added ('OK')	text/html	date:Fri,%2021%20Oct%202022%2005:01:55%20GMT	http://hyperion.cs.upt.ro/index.php/publications/	C:/My%20Web%20Sites/hyoerion/hyperion.cs.upt.ro/index.php/publications/index.html	(from http://hyperion.cs.upt.ro/)
08:01:55	21347/21347	---M-Z	200	added ('OK')	text/html	date:Fri,%2021%20Oct%202022%2005:01:55%20GMT	http://hyperion.cs.upt.ro/index.php/reports/	C:/My%20Web%20Sites/hyoerion/hyperion.cs.upt.ro/index.php/reports/index.html	(from http://hyperion.cs.upt.ro/)
